FechaISO,Valor
2022-09-30,100
2022-11-30,108.37
2023-01-31,115
2023-03-31,126
2023-05-31,130
2023-07-31,134.61
2023-09-30,128.9
2023-11-30,127.7
2024-01-31,130.1
2024-03-31,134.2
2024-05-31,138.3
2024-07-31,136.0
2024-09-30,140.0
2024-11-30,145.0
2025-01-31,156.0
2025-03-31,160.0
2025-05-31,166.9
2025-06-30,157.34
